PRODUCT	ATT 1	ATT 2	ATT 3	ATT 5	ATT 6	ATT 7	ATT 9	ATT 10	ATT 11	ATT 13	ATT 14	ATT 15	ATT 20	ATT 22	ATT 31	ATT 32
BBKER24QT	BURLINGTON QT KENSINGTON REGAL WALL BATH FILLER	262	20120	0	0	3325000	3325000	1000	0	2992500	1		S	KER24-QT	1	
BRWCL1C	CISTERN LEVER 1 CHROME PLATED	112	21809	840	770	116700	116700	5450	0	53098	1		S	W CL1 C	1	
CRV15	15MM CP COSMOS STR R/V PER 1	209	23051	0	379	33300	33300	5500	0	14985	1		S	3015	1	
BBBI13QT	BURLINGTON QT BIRKENHEAD 1H BIDET MIXER WITH PUW HIGH/LOW CENTRE	262	20120	0	0	1825000	1825000	1000	0	1642500	1		S	BI13-QT	1	
BRWCL1G	CISTERN LEVER 1 GOLD PLATED	112	21809	1020	935	141700	141700	5450	0	64473	1		S	W CL1 G	1	
HEPBV15	HEP2O BALL VALVE LEVER 15X15 PF/PF	251	23012	643	643	102200	102200	4800	1500	45172	1		S	HX22/15W	1	
BBR10O	AQUACAB COMPACT OCEAN 210 WALL HUNG UNIT (ORDER BASIN SEPARATELY)	262	14061	10271	9248	1416700	1416700	5500	0	637515	1		S	R10O	1	
BBBURB162TH	BURLINGTON 650 CLASSIC ROUND BASIN INVISIBLE (** MUST ORDER W9 WASTE SEPARATELY **)	262	20120	19877	17897	2741700	2741700	5500	0	1233765	1		S	BUR.B16.2TH	1	
BBF0230000	AMPM SENSATION 3 SPRAY HANDSET ONLY	261	20120	3000	2724	400000	400000	5200	0	192000	1		S	F0230000	1	
HEPBV22	HEP2O BALL VALVE LEVER 22X22 PF/PF	251	23012	839	839	133300	133300	4800	1500	58918	1		S	HX22/22W	1	
BBR10W	AQUACAB COMPACT WHITE 210 WALL HUNG UNIT (ORDER BASIN SEPARATELY)	262	14061	10271	9248	1416700	1416700	5500	0	637515	1		S	R10W	1	
BBQZDB3RWP14	QUARTZ DIGITAL CONCEALED RETROFIT WALL PLATE	262	20120	1341	1207	185000	185000	4000	0	111000	1		S	QZDB3.RWP14	1	
MCPT20X3	PRESS TEE 20X20X20MM	121	13010	802	708	94400	94400	5500	0	42480	1		S	PT20X3	1	1
MS103241BL	MERLYN 10 SERIES 1 DOOR MERLYN OFFSET QUADRANT LEFT HAND- SMOKED BLACK GLASS INCLUDING MSTONE TRAY 1200 X 900	42	13051	141257	124696	19483800	19483800	5500	0	8767710	1		S	MS103241BL	1	
MS103241BR	MERLYN 10 SERIES 1 DOOR MERLYN OFFSET QUADRANT RIGHT HAND- SMOKED BLACK GLASS INCLUDING MSTONE TRAY 1200 X 900	42	13051	141257	124696	19483800	19483800	5500	0	8767710	1		S	MS103241BR	1	
MS103241CL	MERLYN 10 SERIES 1 DOOR MERLYN OFFSET QUADRANT LEFT HAND INCLUDING MSTONE TRAY 1200 X 900	42	13051	128188	113159	17681200	17681200	5500	0	7956540	1		S	MS103241CL	1	
AX110B	AX110 110MM BLACK EXTERNAL AAV	22	61215	2750	2440	142000	142000	0	0	142000	1		S	AX110B	1	
MS103241CR	MERLYN 10 SERIES 1 DOOR MERLYN OFFSET QUADRANT RIGHTHAND INCLUDING MSTONE TRAY 1200 X 900	42	13051	128188	113159	17681200	17681200	5500	0	7956540	1		S	MS103241CR	1	
AX110G	AX110 110MM GREY EXTERNAL AAV	22	61215	2750	2440	393100	393100	6479	0	138410	1		S	AX110G	1	
RUN1B	RUN1 NIAGARA BLACK UNIONBRACKET	21	61215	0	0	29200	29200	5171	0	14100	1		S	RUN1B	1	
BBR16E	CLEARGREEN ECOCURVE END PANEL	262	14061	4168	3753	575000	575000	5500	0	258750	1		S	R16E	1	
